Title,Locations,Price,Square feet area,Status,Bathrooms
1 BHK Apartment,Whitefield, 9500 ,700 ,Semi-Furnished,1 bathrooms
1 BHK Apartment,Whitefield, 9500 ,700 ,Semi-Furnished,1 bathrooms
1 BHK Apartment,Whitefield, 9500 ,700 ,Semi-Furnished,1 bathrooms
1 BHK Apartment,Whitefield, 9500 ,700 ,Semi-Furnished,1 bathrooms
2 BHK Apartment in Swaraj Homes KMB Classic,Electronic City Phase 1, 14000 ,900 ,Furnished,2 bathrooms
1 BHK Independent House,Kogilu, 7000 ,600 ,Semi-Furnished,1 bathrooms
3 BHK Apartment in Swaraj Homes Sai Krupa Regency,CV Raman Nagar, 30000 ,1560 ,Semi-Furnished,2 bathrooms
2 BHK Independent Floor in Skylark Arcadia,Krishnarajapura, 12000 ,850 ,Semi-Furnished,2 bathrooms
2 BHK Independent House,Whitefield, 12000 ,900 ,Unfurnished,3 bathrooms
1 BHK Independent House,Kadugodi Industrial Area, 10500 ,550 ,Semi-Furnished,1 bathrooms
3 BHK Apartment in Swaraj Homes United Orchid,Banaswadi, 32000 ,1564 ,Semi-Furnished,3 bathrooms
1 RK Studio Apartment,BTM Layout, 12000 ,500 ,Furnished,1 bathrooms
2 BHK Independent Floor,Rampura, 11000 ,1150 ,Furnished,2 bathrooms
2 BHK Independent Floor,Medahalli, 11500 ,744 ,Semi-Furnished,2 bathrooms
1 BHK Apartment,Whitefield, 13500 ,500 ,Semi-Furnished,1 bathrooms
2 BHK Independent Floor,Rayasandra, 13000 ,900 ,Semi-Furnished,2 bathrooms
2 BHK Independent House,Horamavu, 8000 ,720 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,Bettadasapura, 7000 ,500 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,Bommenahalli, 6500 ,950 ,Semi-Furnished,1 bathrooms
1 BHK Independent Floor,Murugeshpalya, 16000 ,600 ,Semi-Furnished,1 bathrooms
3 BHK Apartment,Ejipura, 50000 ,1600 ,Semi-Furnished,2 bathrooms
3 BHK Independent House,hebbal kempapura, 35000 ,1840 ,Semi-Furnished,4 bathrooms
1 BHK Independent Floor,Munnekollal, 14000 ,450 ,Semi-Furnished,1 bathrooms
1 BHK Apartment,Sanjay Nagar, 12000 ,600 ,Semi-Furnished,1 bathrooms
4 BHK Villa in Confident Rigel,Sarjapur, 40000 ,2400 ,Semi-Furnished,3 bathrooms
1 BHK Independent House,Subramanyapura, 12000 ,750 ,Semi-Furnished,1 bathrooms
1 BHK Apartment in Mahaveer Orchids,Hosa Road, 10000 ,470 ,Semi-Furnished,1 bathrooms
1 RK Studio Apartment,Hulimavu, 6000 ,150 ,Semi-Furnished,1 bathrooms
1 BHK Apartment,Bilekahalli, 7500 ,400 ,Semi-Furnished,1 bathrooms
